game_key,event,year,name,id,category,start_time,duration,runners,host,max_viewers,median_donation,total_donations,donations_per_min,num_chats,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC,chats_per_hour,is_Sony,is_Nintendo,is_Microsoft,is_Sega,is_Atari,is_PC,is_Mobile,is_Arcade,is_Other
SGDQ_2017_NieR: Automata,SGDQ,2017,NieR: Automata,34,,2017-07-02 16:58:00,1.7180555555555557,Halfcoordinated,,123298.0,20.0,43968.25,426.531123686338,48089.0,0.0,0.0,1.0,1.0,PlatinumGames,Square Enix,2017.0,PlayStation 4,PS4,8,88.0,8.9,0.0,27990.363783346806,1,0,0,0,0,0,0,0,0
SGDQ_2017_Halo: Combat Evolved,SGDQ,2017,Halo: Combat Evolved,35,,2017-07-02 19:08:00,1.4141666666666666,Garish,,151412.0,10.0,11140.06,131.291219799646,36011.0,0.0,0.0,0.0,0.0,Bungie,Microsoft Game Studios,2001.0,Xbox,Xbox,6,97.0,8.8,0.0,25464.46670595168,0,0,1,0,0,0,0,0,0
SGDQ_2017_Azure Striker Gunvolt 2,SGDQ,2017,Azure Striker Gunvolt 2,36,,2017-07-02 20:54:00,0.88,johncarls,,136842.0,20.0,3936.66,74.5579545454545,16427.0,0.0,0.0,1.0,1.0,Inti Creates,Inti Creates,2016.0,Nintendo 3DS,Nintendo 3DS,7,82.0,8.0,0.0,18667.045454545456,0,1,0,0,0,0,0,0,0
SGDQ_2017_Battle Kid,SGDQ,2017,Battle Kid,72,,2017-07-02 22:09:00,0.8333333333333334,InfestedRiche,,147125.0,15.0,2213.02,44.2604,15995.0,0.0,0.0,0.0,0.0,Sivak Games,Sivak Games,2010.0,Nintendo Entertainment System,NES,3,,,0.0,19194.0,0,1,0,0,0,0,0,0,0
SGDQ_2017_Battle Kid: Fortress of Peril,SGDQ,2017,Battle Kid: Fortress of Peril,1,,2017-07-02 22:19:00,0.6961111111111111,InfestedRiche,,147125.0,15.0,1373.0,32.8731045490822,13894.0,0.0,0.0,0.0,0.0,Sivak Games,Sivak Games,2022.0,Nintendo Entertainment System,NES,3,73.0,,0.0,19959.45730247406,0,1,0,0,0,0,0,0,0
SGDQ_2017_Diddy Kong Racing,SGDQ,2017,Diddy Kong Racing,37,,2017-07-02 23:14:00,0.7497222222222222,MrsGizamaluke,,142374.0,25.0,26638.19,592.179103371619,18117.0,0.0,0.0,0.0,0.0,Rare,Nintendo,1997.0,Nintendo 64,N64,5,88.0,8.8,0.0,24164.949981474623,0,1,0,0,0,0,0,0,0
SGDQ_2017_Luigi's Mansion,SGDQ,2017,Luigi's Mansion,38,,2017-07-03 00:12:00,0.9569444444444444,HDlax1,,140211.0,20.0,5171.47,90.0691436865022,21223.0,0.0,0.0,0.0,0.0,Nintendo EAD,Nintendo,2001.0,GameCube,GameCube,6,78.0,8.1,0.0,22177.88098693759,0,1,0,0,0,0,0,0,0
SGDQ_2017_Metroid Prime,SGDQ,2017,Metroid Prime,39,,2017-07-03 01:26:00,1.7044444444444444,JustinDM,,151543.0,15.0,14108.92,137.962059973924,28315.0,0.0,0.0,1.0,0.0,Retro Studios,Nintendo,2002.0,GameCube,GameCube,6,97.0,9.3,0.0,16612.45110821382,0,1,0,0,0,0,0,0,0
SGDQ_2017_Castlevania: Symphony of the Night,SGDQ,2017,Castlevania: Symphony of the Night,40,,2017-07-03 03:26:00,0.5497222222222222,Dr4gonBlitz,,136111.0,20.0,4225.35,128.10560889338,10904.0,0.0,0.0,1.0,0.0,Konami,Konami,1997.0,PlayStation,PlayStation,5,,,0.0,19835.472460838806,0,0,0,0,0,0,0,0,0
SGDQ_2017_Guacamelee: Gold Edition,SGDQ,2017,Guacamelee: Gold Edition,73,,2017-07-03 04:00:00,1.3666666666666667,Grimelios,,152114.0,25.0,4695.04,57.2565853658537,21774.0,,,,,,,,,,,,,,15932.19512195122,0,0,0,0,0,0,0,0,1
