Console Name,Company,Generation,Approximate Date Range
Magnavox Odyssey,Magnavox,1,1972 - 1980
Atari 2600,Atari,2,1976 - 1992
Intellivision,Mattel,2,1976 - 1992
Game & Watch,Nintendo,2,1976 - 1992
NES (Nintendo Entertainment System),Nintendo,3,1983 - 2003
Sega Master System,Sega,3,1983 - 2003
Game Boy,Nintendo,3,1983 - 2003
PV-1000,Casio,3,1983 - 2003
SNES (Super Nintendo Entertainment System),Nintendo,4,1987 - 2004
Sega Genesis (Mega Drive),Sega,4,1987 - 2004
Game Gear,Sega,4,1987 - 2004
Atari Lynx,Atari,4,1987 - 2004
Neo Geo,SNK,4,1987 - 2004
TurboGrafx-16,NEC,4,1987 - 2004
Philips CD-i,Philips,4,1987 - 2004
PlayStation,Sony,5,1993 - 2006
Nintendo 64,Nintendo,5,1993 - 2006
Sega Saturn,Sega,5,1993 - 2006
Atari Jaguar,Atari,5,1993 - 2006
Virtual Boy,Nintendo,5,1993 - 2006
Game Boy Color,Nintendo,5,1993 - 2006
3DO,3DO,5,1993 - 2006
Neo Geo Pocket,SNK,5,1993 - 2006
PlayStation 2,Sony,6,1998 - 2013
Xbox,Microsoft,6,1998 - 2013
Nintendo GameCube,Nintendo,6,1998 - 2013
Sega Dreamcast,Sega,6,1998 - 2013
Game Boy Advance,Nintendo,6,1998 - 2013
PlayStation Portable (PSP),Sony,6,1998 - 2013
Nintendo DS,Nintendo,6,1998 - 2013
PlayStation 3,Sony,7,2005 -2017
Xbox 360,Microsoft,7,2005 -2017
Nintendo Wii,Nintendo,7,2005 -2017
PlayStation Vita,Sony,7,2005 -2017
Nintendo 3DS,Nintendo,7,2005 -2017
PlayStation 4,Sony,8,2012 - present
Xbox One,Microsoft,8,2012 - present
Nintendo Wii U,Nintendo,8,2012 - present
Nintendo Switch,Nintendo,9,2020 - present
PlayStation 5,Sony,9,2020 - present
Xbox Series X/S,Microsoft,9,2020 - present
PC,Various,Various,Various
Mobile,Various,Various,Various
Arcade,Various,Various,Various
