event,year,game,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC
AGDQ,2022,Marathon 2: Durandal,0,0,0,0,Bungie,Bungie,1995,Macintosh,PC,Various,N/A,N/A,1
AGDQ,2022,Kyouryuu Sentai Zyuranger,0,0,0,0,Arc System Works,Angel,1992,Nintendo Famicom (NES),NES,3,N/A,N/A,0
AGDQ,2022,NieR: Automata,0,0,0,0,PlatinumGames,Square Enix,2017,"PS4, PC","PS4, PC",8,88,8.9,1
AGDQ,2022,Bonus Game 3 - Final Fantasy VII Remake Intergrade,1,0,1,1,Square Enix,Square Enix,2021,PlayStation 5,PS5,9,89,8.5,1
AGDQ,2022,Captain Novolin,0,0,0,0,Sculptured Software,Raya Systems,1992,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,The Simpsons: Bart's House of Weirdness,0,0,0,0,Distinctive Software,Konami,1992,MS-DOS,PC,Various,N/A,N/A,1
AGDQ,2022,Darkman,0,0,0,0,Ocean Software,Ocean Software,1991,"NES, Game Boy","NES, Game Boy",3,N/A,N/A,0
AGDQ,2022,Sonic Jam (Game.com),0,0,0,0,Sega,Tiger Electronics,1998,Game.com,PC,Various,N/A,N/A,0
AGDQ,2022,Zadette,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Cranked Up,0,0,1,0,BBlack Studio,BBlack Studio,2020,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Discworld,0,0,1,1,"Teeny Weeny Games, Perfect 10 Productions",Psygnosis,1995,"PlayStation, Sega Saturn, MS-DOS","PlayStation, Sega Saturn, PC",5,N/A,N/A,1
AGDQ,2022,Castlevania: Lament of Innocence,0,0,0,0,Konami,Konami,2003,PlayStation 2,PS2,6,79,8.2,0
AGDQ,2022,Castlevania: Dracula X,0,0,0,0,Konami,Konami,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Castlevania: Circle of the Moon,0,0,1,1,Konami,Konami,2001,Game Boy Advance,Game Boy Advance,6,91,8.6,0
AGDQ,2022,Castlevania Chronicles,0,0,0,0,Konami,Konami,2001,PlayStation,PlayStation,5,74,8,0
AGDQ,2022,Half-Life 2,0,0,0,0,Valve,Valve,2004,PC,PC,Various,96,9.2,1
AGDQ,2022,Lost Judgment,0,0,1,1,Ryu Ga Gotoku Studio,Sega,2021,"PS4, PS5, Xbox One, Xbox Series X/S","PS4, PS5, Xbox One, Xbox Series X/S",8,84,8.3,0
AGDQ,2022,Bonus Game 5 - Resident Evil Village,1,0,1,1,Capcom,Capcom,2021,"PS4, PS5, Xbox One, Xbox Series X/S, PC","PS4, PS5, Xbox One, Xbox Series X/S, PC",8,84,8.1,1
AGDQ,2022,Daily Recap - Thursday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Oatmeal,0,0,0,0,Tim Kashani,"Fireapples, Inc.",2021,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Wave Break,0,0,1,0,Funktronic Labs,Funktronic Labs,2021,Stadia,PC,Various,54,N/A,1
AGDQ,2022,Ultraman Ball,0,0,0,0,Bandai,Bandai,1995,Game Boy,Game Boy,3,N/A,N/A,0
AGDQ,2022,Uncharted 2: Among Thieves,0,0,1,0,Naughty Dog,Sony Computer Entertainment,2009,PlayStation 3,PS3,7,96,8.8,0
AGDQ,2022,Tetris Attack,0,0,0,0,Intelligent Systems,Nintendo,1996,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Casio Mario World,0,0,0,0,Casio,Casio,1989,PV-1000,PV-1000,3,N/A,N/A,0
AGDQ,2022,SpongeBob SquarePants: Battle for Bikini Bottom,0,0,0,0,Heavy Iron Studios,THQ,2003,"PlayStation 2, GameCube, Xbox","PS2, GameCube, Xbox",6,N/A,N/A,0
AGDQ,2022,Subnautica,0,0,0,0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2018,PC,PC,Various,87,8.9,1
AGDQ,2022,EarthBound,0,0,0,0,"Ape Inc., HAL Laboratory",Nintendo,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,The Legend of Zelda: A Link to the Past,0,0,1,1,Nintendo EAD,Nintendo,1991,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Portal 2,0,0,0,0,Valve,Valve,2011,"PC, PlayStation 3, Xbox 360","PC, PS3, Xbox 360",7,95,9.1,1
AGDQ,2022,Metal Gear Solid,0,0,1,0,Konami,Konami,1998,PlayStation,PlayStation,5,N/A,N/A,0
AGDQ,2022,Spyro: Attack of the Rhynocs,0,0,0,0,Digital Eclipse,Universal Interactive,2002,Game Boy Advance,Game Boy Advance,6,N/A,N/A,0
AGDQ,2022,Part Time UFO,0,0,0,0,HAL Laboratory,HAL Laboratory,2018,"iOS, Android",Mobile,Various,N/A,N/A,0
AGDQ,2022,Kirby's Dream Land 3,0,0,0,0,HAL Laboratory,Nintendo,1997,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Chicory: A Colorful Tale,0,0,1,0,Greg Lobanov,Finji,2021,"PC, PS4, PS5","PC, PS4, PS5",8,90,8.8,1
AGDQ,2022,Crash Team Racing,0,0,1,0,Naughty Dog,Sony Computer Entertainment,1999,PlayStation,PlayStation,5,88,8.9,0
AGDQ,2022,Webbed,0,0,1,0,Sbug Games,Sbug Games,2021,PC,PC,Various,82,8.5,1
AGDQ,2022,Mega Man X4,0,0,1,0,Capcom,Capcom,1997,"PlayStation, Sega Saturn","PlayStation, Sega Saturn",5,89,8.6,0
AGDQ,2022,Psychonauts 2,0,0,0,0,Double Fine Productions,Xbox Game Studios,2021,"PC, Xbox One, PS4","PC, Xbox One, PS4",8,89,8.8,1
